,Beta,Gini,Total,Group_probs,Group,Time Window Size
0,0.0,0.10059980181070105,0.21498977121115548,"{0: np.float64(0.22506824188674435), 1: np.float64(0.19934745550795036), 2: np.float64(0.20270221655485746), 3: np.float64(0.20493600040208643), 4: np.float64(0.1950118717023591), 5: np.float64(0.20306543843044622), 6: np.float64(0.1864496631901305), 7: np.float64(0.211312993268768), 8: np.float64(0.2389351361506045), 9: np.float64(0.135650300772434), 11: np.float64(0.097695813024681)}",Children,30
1,0.05,0.05589801946620016,0.21583779401795264,"{0: np.float64(0.22455207561539167), 1: np.float64(0.20397360238678025), 2: np.float64(0.20409739965687784), 3: np.float64(0.20291279761664618), 4: np.float64(0.20269496157901387), 5: np.float64(0.20237148650435147), 6: np.float64(0.2004866531928804), 7: np.float64(0.2005861225862639), 8: np.float64(0.22280429540289617), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
2,0.1,0.05918328852214877,0.21697637736689332,"{0: np.float64(0.22345364516500918), 1: np.float64(0.20825756726704925), 2: np.float64(0.20808819492846473), 3: np.float64(0.20709784949182483), 4: np.float64(0.20779024494069015), 5: np.float64(0.20605431017693013), 6: np.float64(0.20638621460361395), 7: np.float64(0.2043998955960638), 8: np.float64(0.24667632080042934), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
3,0.15,0.052289170643559355,0.21885562947429796,"{0: np.float64(0.22120206555338967), 1: np.float64(0.2156970411337093), 2: np.float64(0.21568341371967995), 3: np.float64(0.21504425666754134), 4: np.float64(0.2161007648428755), 5: np.float64(0.21350237330792152), 6: np.float64(0.2150123994741436), 7: np.float64(0.21498235303701313), 8: np.float64(0.24667632080042934), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
4,0.2,0.050722139287901306,0.2197929606273736,"{0: np.float64(0.2209311750037683), 1: np.float64(0.21830415916819274), 2: np.float64(0.21840928669005585), 3: np.float64(0.21761324339373173), 4: np.float64(0.21868984356305834), 5: np.float64(0.21623491067136547), 6: np.float64(0.21669407033132201), 7: np.float64(0.21712097482200132), 8: np.float64(0.24667632080042934), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
5,0.25,0.049607741654832234,0.22091144432748175,"{0: np.float64(0.22166106842786093), 1: np.float64(0.2199671491164207), 2: np.float64(0.22009003221769766), 3: np.float64(0.21888375867306675), 4: np.float64(0.21994345005760238), 5: np.float64(0.21939518888839646), 6: np.float64(0.22211317607511305), 7: np.float64(0.22354627273770555), 8: np.float64(0.24667632080042934), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
6,0.3,0.04951923381745106,0.22251896042473715,"{0: np.float64(0.22338155120724354), 1: np.float64(0.22153494227192222), 2: np.float64(0.22150334605505514), 3: np.float64(0.22060684526762778), 4: np.float64(0.22176418722200927), 5: np.float64(0.21882909122794075), 6: np.float64(0.21921856899649944), 7: np.float64(0.21978614937427982), 8: np.float64(0.24667632080042934), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
7,0.4,0.04813064649300592,0.22639791626858166,"{0: np.float64(0.2266928885294797), 1: np.float64(0.22607526152801513), 2: np.float64(0.22586511985551805), 3: np.float64(0.22530218658070503), 4: np.float64(0.22695573223862514), 5: np.float64(0.22529794808284204), 6: np.float64(0.22852960073558728), 7: np.float64(0.22969542428762355), 8: np.float64(0.25151810023782534), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
8,0.5,0.045519313471297236,0.23028752302182823,"{0: np.float64(0.23054370379691944), 1: np.float64(0.23012111406584254), 2: np.float64(0.2297870259562373), 3: np.float64(0.22926187520030286), 4: np.float64(0.23046845354558881), 5: np.float64(0.22996681999202725), 6: np.float64(0.2313723691474976), 7: np.float64(0.2298749857787528), 8: np.float64(0.25151810023782534), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
9,0.6,0.0436640479472565,0.23796146648868988,"{0: np.float64(0.23843441126592407), 1: np.float64(0.2375535527985464), 2: np.float64(0.23714432726855622), 3: np.float64(0.23670189355089083), 4: np.float64(0.2373913209079888), 5: np.float64(0.23778972496605466), 6: np.float64(0.23946926499226454), 7: np.float64(0.23377918071498532), 8: np.float64(0.2519466044935898), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
10,0.7,0.04165231939762442,0.24303737291343042,"{0: np.float64(0.24346103688707618), 1: np.float64(0.24278420440474202), 2: np.float64(0.24230710130512528), 3: np.float64(0.24166402279130553), 4: np.float64(0.24271438391660438), 5: np.float64(0.24245233991955328), 6: np.float64(0.2442823678257492), 7: np.float64(0.23835757272251723), 8: np.float64(0.2519466044935898), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
11,0.75,0.039849074419542205,0.2477333250967305,"{0: np.float64(0.24829918635806184), 1: np.float64(0.24726628472733028), 2: np.float64(0.24682299663466245), 3: np.float64(0.24650778961805705), 4: np.float64(0.24707145870203018), 5: np.float64(0.24603987217167156), 6: np.float64(0.24733725698088327), 7: np.float64(0.24251940145189305), 8: np.float64(0.2519466044935898), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
12,0.8,0.039553825295345894,0.248721024334576,"{0: np.float64(0.24911601433331965), 1: np.float64(0.2481504693628337), 2: np.float64(0.2482380301476909), 3: np.float64(0.24781350155922527), 4: np.float64(0.24921885563426754), 5: np.float64(0.248210061291865), 6: np.float64(0.24794115722673482), 7: np.float64(0.24251940145189305), 8: np.float64(0.2519466044935898), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
13,0.9,0.03966704705504647,0.25202166867600295,"{0: np.float64(0.25257404581411413), 1: np.float64(0.251507165909488), 2: np.float64(0.2511730899679283), 3: np.float64(0.25084042929900247), 4: np.float64(0.25142386953214907), 5: np.float64(0.25079079342063126), 6: np.float64(0.2530822853848234), 7: np.float64(0.24251940145189305), 8: np.float64(0.2519466044935898), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
14,0.95,0.03997662515635965,0.25413205930201416,"{0: np.float64(0.25527877178451874), 1: np.float64(0.25289738728434796), 2: np.float64(0.2525066658848983), 3: np.float64(0.2521202228424804), 4: np.float64(0.25262242952422853), 5: np.float64(0.24979914061312428), 6: np.float64(0.25413366448701386), 7: np.float64(0.24596338254594344), 8: np.float64(0.2519466044935898), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
15,0.99,0.039357230569618776,0.25419097217361536,"{0: np.float64(0.2554620414899911), 1: np.float64(0.25257276220738684), 2: np.float64(0.25242801404419923), 3: np.float64(0.25198197039603193), 4: np.float64(0.2532921642683804), 5: np.float64(0.2516609344088362), 6: np.float64(0.2518476546635118), 7: np.float64(0.24596338254594344), 8: np.float64(0.2519466044935898), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
16,0.999,0.039047814016623675,0.2555114953393633,"{0: np.float64(0.25693048787312683), 1: np.float64(0.25375227523030397), 2: np.float64(0.2534938590707907), 3: np.float64(0.25340310794715876), 4: np.float64(0.2537759167328733), 5: np.float64(0.25038097489646416), 6: np.float64(0.25538213382383573), 7: np.float64(0.2531474010463986), 8: np.float64(0.2534146061327967), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
17,0.9995,0.03904781399040502,0.2555114952922755,"{0: np.float64(0.25693048779227884), 1: np.float64(0.25375227523030397), 2: np.float64(0.2534938590707907), 3: np.float64(0.25340310794715876), 4: np.float64(0.2537759167328733), 5: np.float64(0.25038097489646416), 6: np.float64(0.25538213382383573), 7: np.float64(0.2531474010463986), 8: np.float64(0.2534146061327967), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
18,0.9999,0.039047814016623675,0.2555114953393633,"{0: np.float64(0.25693048787312683), 1: np.float64(0.25375227523030397), 2: np.float64(0.2534938590707907), 3: np.float64(0.25340310794715876), 4: np.float64(0.2537759167328733), 5: np.float64(0.25038097489646416), 6: np.float64(0.25538213382383573), 7: np.float64(0.2531474010463986), 8: np.float64(0.2534146061327967), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
19,1.0,0.039047814016623675,0.2555114953393633,"{0: np.float64(0.25693048787312683), 1: np.float64(0.25375227523030397), 2: np.float64(0.2534938590707907), 3: np.float64(0.25340310794715876), 4: np.float64(0.2537759167328733), 5: np.float64(0.25038097489646416), 6: np.float64(0.25538213382383573), 7: np.float64(0.2531474010463986), 8: np.float64(0.2534146061327967), 9: np.float64(0.252424737083048), 11: np.float64(0.146765931551508)}",Children,30
